,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,distance
17253,17591,2,2015-06-30 20:25:50,2015-06-30 20:38:24,1,-73.98790740966798,40.719062805175774,-73.94474792480467,40.70793533325195,2,12.5,0.5,0.5,0.0,0.0,13.8,3.8435179324622784
17267,17606,1,2015-06-30 22:18:17,2015-06-30 22:30:20,3,-73.97904968261719,40.75583267211913,-73.97510528564453,40.76536178588867,2,9.0,0.5,0.5,0.0,0.0,10.3,1.1107964163298534
17273,17612,2,2015-06-29 21:43:09,2015-06-29 21:48:25,2,-73.9774169921875,40.75464630126953,-73.97547912597656,40.762657165527344,1,5.5,0.5,0.5,1.36,0.0,8.16,0.9058820409254249
17317,17656,1,2015-06-29 21:52:32,2015-06-29 22:03:58,1,-73.98251342773438,40.75011444091797,-73.98204040527344,40.773921966552734,2,10.0,0.5,0.5,0.0,0.0,11.3,2.6484069522780125
17321,17660,2,2015-06-30 17:37:19,2015-06-30 17:43:03,5,-73.95816040039062,40.78482055664063,-73.9754409790039,40.785343170166016,1,7.0,1.0,0.5,1.0,0.0,9.8,1.4565196373181395
17340,17679,2,2015-06-29 12:40:17,2015-06-29 13:03:54,1,-73.98885345458984,40.7456283569336,-73.991943359375,40.7164306640625,2,15.5,0.0,0.5,0.0,0.0,16.3,3.258080656120881
17394,17735,1,2015-06-29 14:25:51,2015-06-29 15:25:08,3,-73.77693939208984,40.64501190185546,-73.97942352294923,40.78694534301758,1,52.0,0.0,0.5,14.58,5.54,72.92,23.25185624557804
17401,17742,1,2015-06-30 14:38:03,2015-06-30 14:50:28,1,-73.95465087890625,40.76546478271485,-73.95140838623048,40.7823486328125,1,9.5,0.0,0.5,3.05,0.0,13.35,1.8977450888732674
17437,17778,1,2015-06-29 00:24:08,2015-06-29 00:47:44,1,-73.9908905029297,40.714542388916016,-74.00139617919923,40.611907958984375,1,31.5,0.5,0.5,6.56,0.0,39.36,11.4503714080708
17450,17791,1,2015-06-30 15:59:34,2015-06-30 16:03:30,1,-73.96192169189453,40.77108383178711,-73.96505737304686,40.76973724365234,2,4.5,1.0,0.5,0.0,0.0,6.3,0.3036544121514355
17491,17832,2,2015-06-29 21:05:38,2015-06-29 21:08:04,4,-73.94828033447266,40.78272247314453,-73.95304107666014,40.785747528076165,1,4.0,0.5,0.5,1.06,0.0,6.36,0.5234296909149669
17523,17867,1,2015-06-30 13:44:27,2015-06-30 13:51:14,3,-73.96649932861328,40.76464080810546,-73.9696044921875,40.76323699951172,1,5.5,0.0,0.5,1.25,0.0,7.55,0.304655470192396
17535,17879,1,2015-06-29 21:16:01,2015-06-29 21:25:44,1,-74.00785064697266,40.74021911621094,-74.01005554199219,40.71150207519531,1,10.0,0.5,0.5,1.5,0.0,12.8,3.199594437626994
17564,17909,1,2015-06-30 07:37:31,2015-06-30 07:46:51,1,-73.96347045898438,40.77512741088867,-73.98179626464844,40.75641250610352,2,8.5,0.0,0.5,0.0,0.0,9.3,2.5916637230522133
17576,17923,1,2015-06-30 03:55:17,2015-06-30 04:08:14,1,-73.955810546875,40.781753540039055,-73.87265777587889,40.77439880371094,2,23.5,0.5,0.5,0.0,5.54,30.34,7.051425547860013
17578,17925,2,2015-06-29 08:42:58,2015-06-29 08:57:49,3,-73.98739624023438,40.69633102416992,-74.00691223144531,40.72692108154297,1,12.5,0.0,0.5,2.66,0.0,15.96,3.779505912095999
17616,17963,2,2015-06-30 22:45:20,2015-06-30 23:08:55,1,-74.01238250732422,40.70703125,-73.97128295898438,40.78952026367188,1,24.0,0.5,0.5,5.06,0.0,30.36,9.807110713036188
17636,17983,2,2015-06-30 12:28:46,2015-06-30 12:35:20,1,-73.97972869873048,40.78619384765625,-73.96964263916014,40.79369735717773,2,6.5,0.0,0.5,0.0,0.0,7.3,1.190808870277252
17639,17986,2,2015-06-30 19:35:07,2015-06-30 19:52:28,1,-73.98439025878906,40.75470352172852,-73.98804473876953,40.779346466064446,2,13.0,1.0,0.5,0.0,0.0,14.8,2.7582652982810307
